WarehouseCode,ZipCode,Carrier,CustomerOrderNumber,ShippedDate,Pieces,Weight
"Hultagatan 47, Borås",25218,SE Instabox,45027063446,2022/09/05 13:58,1,642
"Hultagatan 47, Borås",25218,SE Instabox,45032176016,2022/09/05 13:58,8,19586
"Hultagatan 47, Borås",25218,SE Instabox,45037767116,2022/09/05 13:58,1,169
"Hultagatan 47, Borås",25218,SE Instabox,45045255206,2022/09/05 13:58,1,1529
"Hultagatan 47, Borås",25218,SE Instabox,45045255206,2022/09/06 20:27,5,14520
"Hultagatan 47, Borås",25218,SE Instabox,45048062206,2022/09/06 20:27,4,2760
"Hultagatan 47, Borås",25218,SE Instabox,45052685296,2022/09/06 21:40,5,7965
"Hultagatan 47, Borås",25218,SE Instabox,45056139286,2022/09/06 20:27,2,1964
"Hultagatan 47, Borås",25218,SE Instabox,45056152596,2022/09/06 20:27,6,5916
"Hultagatan 47, Borås",25218,SE Instabox,45056224726,2022/09/06 20:27,4,9560
"Hultagatan 47, Borås",25218,SE Instabox,45100367506,2022/09/07 08:12,1,398
"Hultagatan 47, Borås",25218,SE Instabox,45108329346,2022/09/08 00:59,6,5064
"Hultagatan 47, Borås",25218,SE Instabox,45115960556,2022/09/08 00:59,1,176
"Hultagatan 47, Borås",25218,SE Instabox,45115961886,2022/09/08 22:28,1,172
"Hultagatan 47, Borås",25218,SE Instabox,45120970816,2022/09/08 22:28,3,2868
"Hultagatan 47, Borås",25218,SE Instabox,45123425386,2022/09/07 08:12,1,359
"Hultagatan 47, Borås",25218,SE Instabox,45201092426,2022/09/08 22:28,1,356
"Hultagatan 47, Borås",25218,SE Instabox,45249727396,2022/09/10 14:10,1,201
"Hultagatan 47, Borås",25218,SE Instabox,45251670466,2022/09/10 14:10,3,2550
"Hultagatan 47, Borås",25218,SE Instabox,45269782396,2022/09/09 20:17,2,362
"Hultagatan 47, Borås",25218,SE Instabox,45276302136,2022/09/11 12:42,2,1282
"Hultagatan 47, Borås",25218,SE Instabox,45278480386,2022/09/11 12:42,4,8640
"Hultagatan 47, Borås",25218,SE Instabox,45287401916,2022/09/10 14:10,1,798
"Hultagatan 47, Borås",25218,SE Instabox,45288662256,2022/09/11 12:42,1,198
"Hultagatan 47, Borås",25219,Postnord_SE,45044997436,2022/09/05 11:40,3,2130
"Hultagatan 47, Borås",25219,Postnord_SE,45047459636,2022/09/05 15:44,4,2408
"Hultagatan 47, Borås",25219,Postnord_SE,45048034856,2022/09/05 15:17,3,1512
"Hultagatan 47, Borås",25219,Postnord_SE,45050944296,2022/09/06 07:14,1,1234
"Hultagatan 47, Borås",25219,Postnord_SE,45056571906,2022/09/05 15:44,3,6224
"Hultagatan 47, Borås",25219,Postnord_SE,45064820986,2022/09/06 15:19,1,668
"Hultagatan 47, Borås",25219,Postnord_SE,45113851856,2022/09/06 15:19,1,328
"Hultagatan 47, Borås",25219,Postnord_SE,45128160936,2022/09/07 10:28,3,2070
"Hultagatan 47, Borås",25219,Postnord_SE,45139270526,2022/09/07 10:28,3,510
"Hultagatan 47, Borås",25219,Postnord_SE,45165278786,2022/09/07 19:17,3,4686
"Hultagatan 47, Borås",25219,Postnord_SE,45171038316,2022/09/08 15:09,1,178
"Hultagatan 47, Borås",25219,Postnord_SE,45188116306,2022/09/09 07:58,3,2820
"Hultagatan 47, Borås",25219,Postnord_SE,45201616506,2022/09/09 15:07,1,450
"Hultagatan 47, Borås",25219,Postnord_SE,45204603296,2022/09/09 11:25,9,19272
"Hultagatan 47, Borås",25219,Postnord_SE,45208801596,2022/09/09 15:07,2,584
"Hultagatan 47, Borås",25220,Budbee,45184758106,2022/09/08 20:59,3,4398
"Hultagatan 47, Borås",25220,Budbee,45250072906,2022/09/11 08:36,1,627
"Hultagatan 47, Borås",25220,Postnord_SE,45037542206,2022/09/05 15:17,1,278
"Hultagatan 47, Borås",25220,Postnord_SE,45041216176,2022/09/05 15:17,2,974
"Hultagatan 47, Borås",25220,Postnord_SE,45045825946,2022/09/05 15:17,2,484
"Hultagatan 47, Borås",25220,Postnord_SE,45071151086,2022/09/06 18:19,2,1350
"Hultagatan 47, Borås",25220,Postnord_SE,45071519816,2022/09/06 10:36,2,1824
"Hultagatan 47, Borås",25220,Postnord_SE,45072460686,2022/09/06 18:19,3,2172
"Hultagatan 47, Borås",25220,Postnord_SE,45077676866,2022/09/06 15:19,1,368
"Hultagatan 47, Borås",25220,Postnord_SE,45079110096,2022/09/06 14:22,1,2100
"Hultagatan 47, Borås",25220,Postnord_SE,45081009716,2022/09/06 15:19,1,285
"Hultagatan 47, Borås",25220,Postnord_SE,45093904136,2022/09/06 15:19,1,332
"Hultagatan 47, Borås",25220,Postnord_SE,45133663856,2022/09/07 10:28,2,3006
"Hultagatan 47, Borås",25220,Postnord_SE,45134611516,2022/09/07 10:28,5,1226
"Hultagatan 47, Borås",25220,Postnord_SE,45137394276,2022/09/06 20:14,5,3705
