service_id,date,exception_type
1,20220502,1
1,20220503,1
1,20220504,1
1,20220505,1
1,20220506,1
1,20220509,1
1,20220510,1
1,20220511,1
1,20220512,1
1,20220513,1
1,20220516,1
1,20220517,1
1,20220518,1
1,20220519,1
1,20220520,1
1,20220523,1
1,20220524,1
1,20220525,1
1,20220526,1
1,20220527,1
1,20220530,1
1,20220531,1
1,20220601,1
1,20220602,1
1,20220603,1
1,20220606,1
1,20220607,1
1,20220608,1
1,20220609,1
1,20220610,1
1,20220613,1
1,20220614,1
1,20220615,1
1,20220616,1
1,20220617,1
1,20220620,1
1,20220621,1
1,20220622,1
1,20220623,1
1,20220624,1
1,20220627,1
1,20220628,1
1,20220629,1
1,20220630,1
1,20220701,1
1,20220704,1
1,20220705,1
1,20220706,1
1,20220707,1
1,20220708,1
1,20220711,1
1,20220712,1
1,20220713,1
1,20220714,1
1,20220715,1
1,20220718,1
1,20220719,1
1,20220720,1
1,20220721,1
1,20220722,1
1,20220725,1
1,20220726,1
1,20220727,1
1,20220728,1
1,20220729,1
1,20220801,1
1,20220802,1
1,20220803,1
1,20220804,1
1,20220805,1
1,20220808,1
1,20220809,1
1,20220810,1
1,20220811,1
1,20220812,1
1,20220815,1
1,20220816,1
1,20220817,1
1,20220818,1
1,20220819,1
1,20220822,1
1,20220823,1
1,20220824,1
1,20220825,1
1,20220826,1
1,20220829,1
1,20220830,1
1,20220831,1
1,20220901,1
1,20220902,1
1,20220905,1
1,20220906,1
1,20220907,1
1,20220908,1
1,20220909,1
1,20220912,1
1,20220913,1
1,20220914,1
1,20220915,1
1,20220916,1
1,20220919,1
2,20220508,1
2,20220515,1
2,20220522,1
2,20220529,1
2,20220605,1
2,20220612,1
2,20220619,1
2,20220626,1
2,20220703,1
2,20220710,1
2,20220717,1
2,20220724,1
2,20220731,1
2,20220807,1
2,20220814,1
2,20220821,1
2,20220828,1
2,20220904,1
2,20220911,1
2,20220918,1
3,20220507,1
3,20220514,1
3,20220521,1
3,20220528,1
3,20220604,1
3,20220611,1
3,20220618,1
3,20220625,1
3,20220702,1
3,20220709,1
3,20220716,1
3,20220723,1
3,20220730,1
3,20220806,1
3,20220813,1
3,20220820,1
3,20220827,1
3,20220903,1
3,20220910,1
3,20220917,1
4,20220502,1
4,20220503,1
4,20220504,1
4,20220505,1
4,20220506,1
4,20220509,1
4,20220510,1
4,20220511,1
4,20220512,1
4,20220513,1
4,20220516,1
4,20220517,1
4,20220518,1
4,20220519,1
4,20220520,1
4,20220523,1
4,20220524,1
4,20220525,1
4,20220526,1
4,20220527,1
4,20220530,1
4,20220531,1
4,20220601,1
4,20220602,1
4,20220603,1
4,20220606,1
4,20220607,1
4,20220608,1
4,20220609,1
4,20220610,1
4,20220624,1
4,20220815,1
4,20220816,1
4,20220817,1
4,20220818,1
4,20220819,1
4,20220822,1
4,20220823,1
4,20220824,1
4,20220825,1
4,20220826,1
4,20220829,1
4,20220830,1
4,20220831,1
4,20220901,1
4,20220902,1
4,20220905,1
4,20220906,1
4,20220907,1
4,20220908,1
4,20220909,1
4,20220912,1
4,20220913,1
4,20220914,1
4,20220915,1
4,20220916,1
4,20220919,1
5,20220526,1
5,20220527,1
5,20220530,1
5,20220606,1
5,20220613,1
5,20220614,1
5,20220615,1
5,20220616,1
5,20220617,1
5,20220620,1
5,20220621,1
5,20220622,1
5,20220623,1
5,20220624,1
5,20220627,1
5,20220628,1
5,20220629,1
5,20220630,1
5,20220701,1
5,20220704,1
5,20220705,1
5,20220706,1
5,20220707,1
5,20220708,1
5,20220711,1
5,20220712,1
5,20220713,1
5,20220714,1
5,20220715,1
5,20220718,1
5,20220719,1
5,20220720,1
5,20220721,1
5,20220722,1
5,20220725,1
5,20220726,1
5,20220727,1
5,20220728,1
5,20220729,1
5,20220801,1
5,20220802,1
5,20220803,1
5,20220804,1
5,20220805,1
5,20220808,1
5,20220809,1
5,20220810,1
5,20220811,1
5,20220812,1
5,20220815,1
5,20220816,1
5,20220919,1
6,20220502,1
6,20220503,1
6,20220504,1
6,20220505,1
6,20220506,1
6,20220509,1
6,20220510,1
6,20220511,1
6,20220512,1
6,20220513,1
6,20220516,1
6,20220517,1
6,20220518,1
6,20220519,1
6,20220520,1
6,20220523,1
6,20220524,1
6,20220525,1
6,20220526,1
6,20220531,1
6,20220601,1
6,20220602,1
6,20220603,1
6,20220606,1
6,20220607,1
6,20220608,1
6,20220609,1
6,20220610,1
6,20220624,1
6,20220817,1
6,20220818,1
6,20220819,1
6,20220822,1
6,20220823,1
6,20220824,1
6,20220825,1
6,20220826,1
6,20220829,1
6,20220830,1
6,20220831,1
6,20220901,1
6,20220902,1
6,20220905,1
6,20220906,1
6,20220907,1
6,20220908,1
6,20220909,1
6,20220912,1
6,20220913,1
6,20220914,1
6,20220915,1
6,20220916,1
6,20220919,1
7,20220506,1
7,20220513,1
7,20220520,1
7,20220527,1
7,20220603,1
7,20220610,1
7,20220617,1
7,20220624,1
7,20220701,1
7,20220708,1
7,20220715,1
7,20220722,1
7,20220729,1
7,20220805,1
7,20220812,1
7,20220819,1
7,20220826,1
7,20220902,1
7,20220909,1
7,20220916,1
8,20220502,1
8,20220503,1
8,20220504,1
8,20220505,1
8,20220506,1
8,20220509,1
8,20220510,1
8,20220511,1
8,20220512,1
8,20220513,1
8,20220516,1
8,20220517,1
8,20220518,1
8,20220519,1
8,20220520,1
8,20220523,1
8,20220524,1
8,20220525,1
8,20220526,1
8,20220531,1
8,20220601,1
8,20220602,1
8,20220603,1
8,20220606,1
8,20220607,1
8,20220608,1
8,20220609,1
8,20220610,1
8,20220613,1
8,20220614,1
8,20220615,1
8,20220616,1
8,20220617,1
8,20220620,1
8,20220621,1
8,20220622,1
8,20220623,1
8,20220624,1
8,20220627,1
8,20220628,1
8,20220629,1
8,20220630,1
8,20220701,1
8,20220704,1
8,20220705,1
8,20220706,1
8,20220707,1
8,20220708,1
8,20220711,1
8,20220712,1
8,20220713,1
8,20220714,1
8,20220715,1
8,20220718,1
8,20220719,1
8,20220720,1
8,20220721,1
8,20220722,1
8,20220725,1
8,20220726,1
8,20220727,1
8,20220728,1
8,20220729,1
8,20220801,1
8,20220802,1
8,20220803,1
8,20220804,1
8,20220805,1
8,20220808,1
8,20220809,1
8,20220810,1
8,20220811,1
8,20220812,1
8,20220815,1
8,20220816,1
8,20220817,1
8,20220818,1
8,20220819,1
8,20220822,1
8,20220823,1
8,20220824,1
8,20220825,1
8,20220826,1
8,20220829,1
8,20220830,1
8,20220831,1
8,20220901,1
8,20220902,1
8,20220905,1
8,20220906,1
8,20220907,1
8,20220908,1
8,20220909,1
8,20220912,1
8,20220913,1
8,20220914,1
8,20220915,1
8,20220916,1
8,20220919,1
9,20220502,1
9,20220503,1
9,20220504,1
9,20220505,1
9,20220506,1
9,20220509,1
9,20220510,1
9,20220511,1
9,20220512,1
9,20220513,1
9,20220516,1
9,20220517,1
9,20220518,1
9,20220519,1
9,20220520,1
9,20220523,1
9,20220524,1
9,20220525,1
9,20220526,1
9,20220530,1
