service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,0,20230403,20230616
2,0,0,0,0,0,0,0,20230407,20230611
3,0,0,0,0,0,0,0,20230408,20230617
4,0,0,0,0,0,0,0,20230407,20230617
5,0,0,0,0,0,0,0,20230406,20230616
6,0,0,0,0,0,0,0,20230407,20230430
7,0,0,0,0,0,0,0,20230403,20230617
8,0,0,0,0,0,0,0,20230404,20230616
9,0,0,0,0,0,0,0,20230403,20230403
10,0,0,0,0,0,0,0,20230404,20230617
11,0,0,0,0,0,0,0,20230403,20230617
12,0,0,0,0,0,0,0,20230430,20230521
13,0,0,0,0,0,0,0,20230424,20230605
14,0,0,0,0,0,0,0,20230411,20230616
15,0,0,0,0,0,0,0,20230403,20230605
16,0,0,0,0,0,0,0,20230403,20230616
17,0,0,0,0,0,0,0,20230405,20230417
18,0,0,0,0,0,0,0,20230408,20230415
19,0,0,0,0,0,0,0,20230407,20230416
20,0,0,0,0,0,0,0,20230403,20230616
21,0,0,0,0,0,0,0,20230418,20230616
22,0,0,0,0,0,0,0,20230430,20230430
23,0,0,0,0,0,0,0,20230407,20230416
24,0,0,0,0,0,0,0,20230407,20230409
25,0,0,0,0,0,0,0,20230405,20230417
26,0,0,0,0,0,0,0,20230421,20230616
27,0,0,0,0,0,0,0,20230422,20230617
28,0,0,0,0,0,0,0,20230422,20230617
29,0,0,0,0,0,0,0,20230423,20230611
30,0,0,0,0,0,0,0,20230403,20230617
31,0,0,0,0,0,0,0,20230411,20230417
32,0,0,0,0,0,0,0,20230406,20230414
33,0,0,0,0,0,0,0,20230501,20230617
34,0,0,0,0,0,0,0,20230506,20230617
35,0,0,0,0,0,0,0,20230501,20230611
36,0,0,0,0,0,0,0,20230403,20230615
37,0,0,0,0,0,0,0,20230612,20230616
38,0,0,0,0,0,0,0,20230611,20230617
39,0,0,0,0,0,0,0,20230403,20230609
40,0,0,0,0,0,0,0,20230407,20230610
41,0,0,0,0,0,0,0,20230411,20230609
42,0,0,0,0,0,0,0,20230611,20230617
43,0,0,0,0,0,0,0,20230617,20230617
44,0,0,0,0,0,0,0,20230611,20230611
45,0,0,0,0,0,0,0,20230616,20230616
46,0,0,0,0,0,0,0,20230403,20230610
47,0,0,0,0,0,0,0,20230408,20230610
48,0,0,0,0,0,0,0,20230407,20230606
49,0,0,0,0,0,0,0,20230406,20230609
50,0,0,0,0,0,0,0,20230411,20230617
51,0,0,0,0,0,0,0,20230415,20230617
52,0,0,0,0,0,0,0,20230411,20230616
53,0,0,0,0,0,0,0,20230414,20230616
54,0,0,0,0,0,0,0,20230403,20230410
55,0,0,0,0,0,0,0,20230407,20230410
56,0,0,0,0,0,0,0,20230408,20230408
57,0,0,0,0,0,0,0,20230403,20230406
58,0,0,0,0,0,0,0,20230407,20230410
