route_id,agency_id,route_short_name,route_long_name,route_type,route_desc
9011012000100000,121120000000001001,1,Elinegård - Jägersro - Kristineberg,700,Stadsbuss Malmö
9011012000200000,121120000000001001,2,Kastanjegården - Malmö C,700,Stadsbuss Malmö
9011012000300000,121120000000001001,3,Ringlinjen,700,Stadsbuss Malmö
9011012000400000,121120000000001001,4,Bunkeflostrand - Limhamn - Segevång - Bernstorp,700,Stadsbuss Malmö
9011012000500000,121120000000001001,5,MalmöExpressen Västra Hamnen - Stenkällan,700,Stadsbuss Malmö
9011012000600000,121120000000001001,6,Klagshamn - Bunkeflostrand - Videdal - Toftanäs,700,Stadsbuss Malmö
9011012000700000,121120000000001001,7,Svågertorp - Ön,700,Stadsbuss Malmö
9011012000800000,121120000000001001,8,Lindängen - Västra hamnen,700,Stadsbuss Malmö
9011012003100000,121120000000001001,31,Svågertorp - Mellersta hamnen,700,Stadsbuss Malmö
9011012003200000,121120000000001001,32,Östra Hamnen - Centralen - Käglinge,700,Stadsbuss Malmö
9011012003400000,121120000000001001,34,St Bernstorp - Bellevueallén,700,Stadsbuss Malmö
9011012003500000,121120000000001001,35,Kvarnby - Toftängen - Gustav Adolfs Torg,700,Stadsbuss Malmö
9011012005500000,121120000000001001,55,Jägersro - Elisedal - Almåsa,700,Stadsbuss Malmö
9011012005600000,121120000000001001,56,Lindängen - Käglinge,1501,Stadsbuss Malmö
9011012010100000,121120000000001001,101,Trulstorp - Mossheddinge - Staffanstorp,1501,Regionbuss
9011012010200000,121120000000001001,102,Hjärup-Staffanstorp,1501,Regionbuss
9011012010800000,121120000000001001,108,Gårdstånga - Odarslöv - Lund,1501,Regionbuss
9011012012300000,121120000000001001,123,Furulund - Lund,700,Regionbuss
9011012012600000,121120000000001001,126,Hänkelstorp - Löddeköpinge - Lund,700,Regionbuss
9011012012700000,121120000000001001,127,Staffanstorp - Nordanå - Särslöv - Tottarp,1501,Regionbuss
9011012013000000,121120000000001001,130,Lund - Åkarp - Malmö,700,Regionbuss
9011012013100000,121120000000001001,131,Lund - Malmö,700,Regionbuss
9011012013200000,121120000000001001,132,Löddeköpinge - Bjärred - Lomma - Malmö,700,Regionbuss
9011012013400000,121120000000001001,134,Löddeköpinge - Bjärred - Malmö,700,Regionbuss
9011012013500000,121120000000001001,135,Lomma Kyrka - Lomma Busstation,1501,Regionbuss
9011012013700000,121120000000001001,137,Bjärred - Lund,700,Regionbuss
9011012013800000,121120000000001001,138,Landskrona - Löddeköpinge - Malmö,700,Regionbuss
9011012013900000,121120000000001001,139,Lund - Lomma,700,Regionbuss
9011012014300000,121120000000001001,143,Svedala - V Kärrstorp - V Ingelstad,1501,Regionbuss
9011012014400000,121120000000001001,144,Östra Grevie - Anderslöv,700,Regionbuss
9011012015300000,121120000000001001,153,Svedala - Börringe - Nötesjö,1501,Regionbuss
9011012015500000,121120000000001001,155,Lund Brunnshög - S Sandby - Harlösa,700,Regionbuss
9011012016100000,121120000000001001,161,Torna Hällestad - Dalby - Lund,700,Regionbuss
9011012016200000,121120000000001001,162,Lund - Dalby - Genarp,700,Regionbuss
9011012016600000,121120000000001001,166,S Sandby - Lund - Staffanstorp,700,Regionbuss
9011012016900000,121120000000001001,169,Lund C - Lund Brunnshög - Malmö,700,Regionbuss
9011012017000000,121120000000001001,170,Lund N Fäladen - Lund LTH - Malmö Jägersro - Hylli,700,Regionbuss
9011012017100000,121120000000001001,171,Lund N Fäladen - Lund LTH - Malmö,700,Regionbuss
9011012017200000,121120000000001001,172,Malmö C - Arlöv - Staffanstorp - Genarp,700,Regionbuss
9011012017400000,121120000000001001,174,Malmö - Staffanstorp - Dalby,700,Regionbuss
9011012018100000,121120000000001001,181,Vellinge - Höllviken - Skegrie - Trelleborg,700,Regionbuss
9011012018400000,121120000000001001,184,Trelleborg - Ö Klagstorp - St Beddinge,700,Regionbuss
9011012019000000,121120000000001001,190,Trelleborg-Smygehamn-Skateholm-Abbekås-Ystad,700,Regionbuss
9011012021900000,121120000000001001,219,Helsingborg - Rydebäck,700,Regionbuss
9011012022000000,121120000000001001,220,Höganäs - Helsingborg,700,Regionbuss
9011012022200000,121120000000001001,222,Mölle - Höganäs - (Helsingborg),700,Regionbuss
9011012022500000,121120000000001001,225,Ängelholm - Jonstorp - Höganäs,700,Regionbuss
9011012023000000,121120000000001001,230,Billesholm - Svalöv - Teckomatorp,700,Regionbuss
9011012024000000,121120000000001001,240,Landskrona - Svalöv,700,Regionbuss
9011012024300000,121120000000001001,243,Röstånga - Svalöv,700,Regionbuss
9011012029700000,121120000000001001,297,Helsingborg - Bårslöv - Ekeby,700,Regionbuss
9011012030000000,121120000000001001,300,Hyllie - Vellinge - Falsterbo,700,Regionbuss
9011012030200000,121120000000001001,302,Rydsgård - Skivarp,1501,Regionbuss
9011012030500000,121120000000001001,305,Skurup - Abbekås,700,Regionbuss
9011012030700000,121120000000001001,307,Skurup - Skårby - Ystad,700,Regionbuss
9011012030900000,121120000000001001,309,Veberöd - Stenberget - Skurup,1501,Regionbuss
9011012033700000,121120000000001001,337,Tomelilla - Ystad,700,Regionbuss
9011012033800000,121120000000001001,338,Sjöbo - Lövestad - Tomelilla,700,Regionbuss
9011012034000000,121120000000001001,340,Fränninge - Vollsjö - Sjöbo,700,Regionbuss
9011012034100000,121120000000001001,341,Veberöd - Blentarp - Sjöbo,700,Regionbuss
9011012037900000,121120000000001001,379,Vellinge - V Ingelstad - Ö Grevie,700,Regionbuss
9011012040100000,121120000000001001,1,Kristianstad - Malmö,700,SkåneExpressen
9011012040200000,121120000000001001,2,Hörby - Lund,700,SkåneExpressen
9011012041000000,121120000000001001,10,Örkelljunga - Helsingborg,700,SkåneExpressen
9011012043600000,121120000000001001,436,Eslöv - Löberöd,700,Regionbuss
9011012044800000,121120000000001001,448,Höör - Munkarp - Norra Rörum - Höör,700,Regionbuss
9011012047000000,121120000000001001,470,Höör - Hörby,700,Regionbuss
9011012047400000,121120000000001001,474,Hörby - Eslöv,700,Regionbuss
9011012057700000,121120000000001001,577,Skillinge - Brantevik - Simrishamn,700,Regionbuss
9011012060600000,121120000000001001,6,Kungshult - Olympia - Helsingborg C,700,Stadsbuss Helsingborg
9011012066400000,121120000000001001,4,Lingenässkolan-Högskolan-Kristianstad C-Norra Åsum,700,Stadsbuss Kristianstad
9011012067200000,121120000000001001,2,Röinge - Centralen - Gäddastorp,700,Stadsbuss Hässleholm
9011012070100000,121120000000001001,1,Solkullen - Stationen - Flygstaden,700,Stadsbuss Eslöv
9011012070200000,121120000000001001,2,Rönneberga - Stationen - Bäckdala,700,Stadsbuss Eslöv
9011012073200000,121120000000001001,2,Värpinge By - Botulfsplatsen - Annehem,700,Stadsbuss Lund
9011012073300000,121120000000001001,3,Nöbbelöv - Botulfsplatsen - Linero,700,Stadsbuss Lund
9011012073400000,121120000000001001,4,Gunnesbo - Botulfsplatsen - N Fäladen,700,Stadsbuss Lund
9011012073500000,121120000000001001,5,Nova - Botulfsplatsen - Råbylund,700,Stadsbuss Lund
9011012073600000,121120000000001001,6,S:t Lars - Botulfsplatsen - Östra Linero,700,Stadsbuss Lund
9011012076100000,121120000000001001,1,Centrum - Stationen - Koppargården,700,Stadsbuss Landskrona
9011012076200000,121120000000001001,2,V. Fäladen - Centrum - Guldängen,700,Stadsbuss Landskrona
9011012076300000,121120000000001001,3,Stationen - Centrum,700,Stadsbuss Landskrona
9011012076400000,121120000000001001,4,Borstahusen - Stationen,700,Stadsbuss Landskrona
9011012076600000,121120000000001001,Båt,Båt till Ven Landskrona-Ven,1000,VEN trafiken
9011012076700000,121120000000001001,767,Buss på Ven Bäckviken - Kyrkbacken,700,Stadsbuss Landskrona
9011012078100000,121120000000001001,1,Stationen - Västra Sjöstaden,700,Stadsbuss Ystad
9011012078200000,121120000000001001,2,Regementet - Stationen,700,Stadsbuss Ystad
9011012078300000,121120000000001001,3,Stationen - Backaskolan - Stationen,700,Stadsbuss Ystad
9011012910100000,121120000000001001,1,"SIMRISHAMN NO 1 Skånsbäck, Gysås, Komstad, Virrest",1501,Närtrafik
9011012910200000,121120000000001001,2,"SIMRISHAMN NO 2 Bästekille, Tåghusa, Ljungkullen,",1501,Närtrafik
9011012920100000,121120000000001001,2,ÄNGELHOLM NO 2 Simontorp m fl-Hjärnarp,1501,Närtrafik
9011012920300000,121120000000001001,3,ÄNGELHOLM NO 3 Ugglehult m fl-Hjärnarp,1501,Närtrafik
