stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9021012002503000,Laholm Repslagargatan,56.511082,13.052599,1,,
9021012002505000,Laholm Glänninge vårdcentral,56.504204,13.051977,1,,
9021012002507000,Laholm Altona,56.503528,13.046210,1,,
9021012002518000,Laholm Kristianstadsvägen,56.507425,13.058259,1,,
9021012003400000,Halmstad Resecentrum,56.669207,12.865548,1,,
9021012006701000,Varberg bussterminal,57.109745,12.253200,1,,
9021012007002000,Brånhult,56.432997,13.570257,1,,
9021012007008000,Köphult,56.414044,13.541145,1,,
9021012007012000,Markaryd Skulptörvägen,56.449207,13.597577,1,,
9021012007013000,Markaryd station,56.458283,13.593676,1,,
9021012007014000,Markaryd Backgatan,56.453088,13.595568,1,,
9021012007016000,Köphult Skogshyddan,56.420922,13.549359,1,,
9021012007022000,Älmhult station,56.551144,14.137404,1,,
9021012007027000,Älmhult Wallingatan,56.541969,14.135726,1,,
9021012007028000,Skogshyddan,56.420079,13.626756,1,,
9021012007029000,S Århult,56.438079,13.610839,1,,
9021012007030000,Ulvaryd,56.443052,13.604049,1,,
9021012007031000,Älmhult IKEA CL Syd,56.532963,14.123964,1,,
9021012007032000,Älmhult Stålgatan,56.535792,14.132585,1,,
9021012007033000,Älmhult Ringcentralen,56.532414,14.131206,1,,
9021012007046000,Diö station,56.633353,14.214644,1,,
9021012007047000,Gemla station,56.870702,14.646156,1,,
9021012007048000,Vislanda station,56.787023,14.454757,1,,
9021012007051000,Alvesta,56.898753,14.557172,1,,
9021012007054000,Växjö,56.876530,14.806073,1,,
9021012007055000,Hovmantorp,56.785855,15.141479,1,,
9021012007056000,Lessebo,56.749923,15.259574,1,,
9021012008000000,Emmaboda,56.629710,15.535810,1,,
9021012008001000,Nybro,56.742431,15.908679,1,,
9021012008004000,Kalmar C,56.661355,16.359840,1,,
9021012010001000,Sölvesborg resecentrum,56.050386,14.584183,1,,
9021012010002000,Mörrum station,56.186897,14.744085,1,,
9021012010003000,Karlshamn resecentrum,56.176579,14.867549,1,,
9021012010004000,Bräkne Hoby station,56.231042,15.115742,1,,
9021012010005000,Ronneby resecentrum,56.206502,15.283541,1,,
9021012010006000,Bergåsa station,56.182712,15.601202,1,,
9021012010007000,Karlskrona C,56.166698,15.585174,1,,
9021012010009000,Sölvesborg Nicolaigatan,56.053899,14.583446,1,,
9021012010012000,Olofström resecentrum,56.276816,14.533188,1,,
9021012010013000,Olofström jvstn,56.278902,14.520380,1,,
9021012010015000,Vilshult,56.358217,14.481761,1,,
9021012010017000,Sölvesborg Hästtorget,56.051744,14.583514,1,,
9021012010019000,Jämshög Bygatan,56.240745,14.530562,1,,
9021012010021000,Jämshög Rosenhill,56.248816,14.529342,1,,
9021012010024000,Olofström Nebbebodagården,56.268922,14.522861,1,,
9021012010026000,Olofström Gamla torg,56.278048,14.522055,1,,
9021012010027000,Olofström Aniara,56.277807,14.525663,1,,
9021012010031000,Sölvesborg Furulundsskolan,56.055225,14.581221,1,,
9021012010034000,Jämshög Sunnanvägen,56.235043,14.529832,1,,
9021012010035000,Jämshög Ekdungen,56.232292,14.527844,1,,
9021012010036000,Jämshög Rävalyckan,56.228840,14.526701,1,,
9021012010037000,Rönhult,56.391522,14.443749,1,,
9021012010038000,Skälmershult,56.385909,14.462731,1,,
9021012010039000,Möllelycke,56.380690,14.468451,1,,
9021012010040000,Skjutbanan,56.369020,14.474039,1,,
9021012010041000,Slätten,56.364055,14.476704,1,,
9021012010042000,Flyborgstorpet,56.324487,14.502618,1,,
9021012010043000,V 121 - Odasjöslätt,56.307171,14.518089,1,,
9021012010045000,Arkelstorpsvägen,56.352618,14.485660,1,,
9021012010046000,Sölvesborg Rondellen,56.054611,14.568383,1,,
9021012013003000,Halmstad C,56.669257,12.864614,1,,
9021012013009000,Laholm station,56.502297,12.998893,1,,
9021012013010000,Mellbystrand,56.514331,12.949817,1,,
9021012013014000,Veinge Station,56.552937,13.076807,1,,
9021012013015000,Laholm Busstationen,56.511597,13.047020,1,,
9021012013019000,Laholm Brandstationen,56.504305,13.033903,1,,
9021012013020000,Laholm Ängelholmsvägen,56.500578,13.033558,1,,
9021012013021000,Laholm Nyby,56.495048,13.035358,1,,
9021012013022000,Kövlinge,56.484695,13.040076,1,,
9021012013023000,Ysbyvägen,56.479714,13.041559,1,,
9021012013024000,Vallberga Brohuset,56.469718,13.028440,1,,
9021012013025000,Vallberga,56.467736,13.024202,1,,
9021012013026000,Vrångarp,56.456531,12.999805,1,,
9021012013027000,Skottorp Smedjeån,56.450857,12.988932,1,,
9021012013028000,Skottorp Rosenlundsvägen,56.446999,12.962791,1,,
9021012013029000,Skottorp Pråmhuset,56.436219,12.956217,1,,
9021012013031000,Mellbystrand Ulanders väg,56.504615,12.950857,1,,
9021012013032000,Mellby,56.503745,12.981158,1,,
9021012013033000,Mellbystrand Grönatorgsvägen,56.508918,12.948063,1,,
9021012013034000,Mellbystrand Mellbyvägen,56.499415,12.944327,1,,
9021012013035000,Mellbystrand Brodds väg,56.495444,12.943554,1,,
9021012013036000,Mellbystrand Kolonivägen,56.490977,12.941552,1,,
9021012013037000,Mellbystrand Ejdervägen,56.485166,12.937378,1,,
9021012013038000,Falkenberg,56.919592,12.507360,1,,
9021012013040000,Åsa station,57.363121,12.135434,1,,
9021012013042000,Varberg,57.109460,12.248520,1,,
9021012013043000,Skummeslöv Vallbergavägen,56.477792,12.932805,1,,
9021012013044000,Skummeslöv Berndtssons väg,56.470322,12.927639,1,,
9021012013045000,Skummeslövsstrand,56.461534,12.921796,1,,
9021012013046000,Kungsbacka,57.491155,12.079887,1,,
9021012013047000,Skummeslöv Stjärnhem,56.456243,12.937354,1,,
9021012013048000,Skummeslöv Orionvägen,56.458427,12.934252,1,,
9021012013049000,Laholm Blåkulla,56.506061,13.026025,1,,
9021012013050000,Laholm Simsons väg,56.505565,13.022356,1,,
9021012013051000,Laholm Sologatan,56.504919,13.032006,1,,
9021012013052000,Laholm Trumgatan,56.503378,13.010982,1,,
9021012013054000,Skottorp,56.450475,12.958816,1,,
9021012013055000,Skummeslöv Elins väg,56.459607,12.928564,1,,
9021012013056000,Skummeslöv Hedhusvägen Ö,56.450595,12.934389,1,,
9021012013057000,Allarp,56.447149,12.931112,1,,
9021012013058000,Kungsbacka Hede station,57.513398,12.083528,1,,
9021012013059000,Anneberg,57.537149,12.101792,1,,
9021012013060000,Lindome,57.576753,12.079462,1,,
9021012013061000,Kållered,57.610633,12.048495,1,,
9021012013062000,Liseberg,57.698164,11.994606,1,,
9021012013245000,Mellbystrand Åvägen,56.511003,12.970819,1,,
9021012013453000,Mellbystrand Ekvägen,56.513260,12.957942,1,,
9021012013454000,Mellbystrand Birger Pers väg,56.515600,12.957327,1,,
9021012013455000,Mellbystrand Mellby Center,56.503139,12.955435,1,,
9021012013456000,Mellbystrand Kungsfågelvägen,56.499338,12.953853,1,,
9021012013526000,Laholm Grönkulla,56.504642,13.038541,1,,
9021012014000000,Svalöv station,55.911952,13.109591,1,,
9021012014001000,Svalöv Prästgårdsvägen,55.907367,13.091067,1,,
9021012014017000,Tågarp torget,55.925159,12.954432,1,,
9021012014018000,Kullerstensgården,55.901721,13.104800,1,,
9021012014020000,Svalöv Brandstationen,55.908587,13.106498,1,,
9021012014021000,Svalöv Industrigatan,55.906199,13.106216,1,,
9021012014023000,Åkersnäs,55.906767,13.070890,1,,
9021012014024000,Källs Nöbbelöv N,55.890654,13.089037,1,,
9021012014025000,Källs Nöbbelöv K:a,55.886631,13.080589,1,,
